lcms_run,pathway,p_age,FDR_age,slope,direction
high-bps-wk07-wk22,map00052,0.006288780234513819,0.015734041793450285,3.652736247772605e-5,increasing_with_age
high-bps-wk07-wk22,map04922,1.982151439329189e-4,8.197786816978744e-4,-0.06955259271421141,decreasing_with_age
high-bps-wk07-wk22,map00966,0.01634098341075695,0.03594268353010136,-0.05634758417708156,decreasing_with_age
high-bps-wk07-wk22,map00480,0.005165740709113202,0.013734310615499384,0.054493842986503144,increasing_with_age
high-bps-wk07-wk22,map00564,0.0013402985536644686,0.004119266197042174,-0.06762657483157994,decreasing_with_age
high-bps-wk07-wk22,map00260,0.0020888164480635752,0.006192508938949537,-0.06045584281125016,decreasing_with_age
high-bps-wk07-wk22,map00010,5.469028660913113e-6,3.3311356389198053e-5,-0.076543135826889,decreasing_with_age
high-bps-wk07-wk22,map00534,1.3979334500144028e-11,1.7344729842771293e-10,-0.11279837804628748,decreasing_with_age
high-bps-wk07-wk22,map00630,0.005050768404276747,0.013536059323461684,-0.08035948807972189,decreasing_with_age
high-bps-wk07-wk22,map04912,0.007378090018167227,0.01752950465309235,-0.06782120130111016,decreasing_with_age
high-bps-wk07-wk22,map04066,0.00577107550624729,0.014986901508471645,-0.05599535953791273,decreasing_with_age
high-bps-wk07-wk22,map05225,5.903100566970022e-10,5.493163027597104e-9,-0.10716904057311538,decreasing_with_age
high-bps-wk07-wk22,map04081,1.3461571808556956e-4,5.933719152456027e-4,-0.0901386546620317,decreasing_with_age
high-bps-wk07-wk22,map00901,8.198601133068583e-4,0.002692677823115662,-0.02422866935435422,decreasing_with_age
high-bps-wk07-wk22,map04750,0.018895589860358407,0.0405770679693594,-0.03133973278304765,decreasing_with_age
high-bps-wk07-wk22,map04931,2.471589694078538e-4,9.856935089479883e-4,-0.0701042195894901,decreasing_with_age
high-bps-wk07-wk22,map04911,5.903100566970022e-10,5.493163027597104e-9,-0.10716904057311538,decreasing_with_age
high-bps-wk07-wk22,map04910,1.3979334500144028e-11,1.7344729842771293e-10,-0.11279837804628748,decreasing_with_age
high-bps-wk07-wk22,map00943,0.02342424897381409,0.04814186138790013,-0.08414084426701947,decreasing_with_age
high-bps-wk07-wk22,map00950,0.002706352255039615,0.007815758667571301,-0.006439902972246613,decreasing_with_age
high-bps-wk07-wk22,map05140,0.0013362353011955454,0.004119266197042174,-0.062239185014732995,decreasing_with_age
high-bps-wk07-wk22,map00903,0.003972973385077636,0.010999554413231472,0.05247288922615367,increasing_with_age
high-bps-wk07-wk22,map00785,4.6181222597306365e-6,2.8649462166847466e-5,-0.029941056692574578,decreasing_with_age
high-bps-wk07-wk22,map00540,3.120016191295257e-7,2.223841327838109e-6,0.09567051573759029,increasing_with_age
high-bps-wk07-wk22,map04730,0.003351997994101879,0.009516265491729911,-0.06751617767384614,decreasing_with_age
high-bps-wk07-wk22,map00310,0.01998834899425054,0.04238036020932868,0.010234164507474473,increasing_with_age
high-bps-wk07-wk22,map04113,1.3979334500144028e-11,1.7344729842771293e-10,-0.11279837804628748,decreasing_with_age
